id,first_name,last_name,institution
246,Sasa,Wang,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences; University of Chinese Academy of Sciences, Chinese Academy of Sciences"
247,Sangen,Zhao,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
248,Weichuan,Zhang,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
249,Lina,Li,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
250,Junhua,Luo,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
251,Aymen,Yangui,"Institute of Industrial Science, University of Tokyo; Groupe d'Etudes de la Matiere Condensee, UMR CNRS 8653-Universite de Versailles Saint Quentin En Yvelines, Universite Paris-Saclay"
252,Sebastien,Pillet,"Laboratoire de Cristallographie, Resonance Magnetique et Modelisations"
253,El-Eulmi,Bendeif,"Laboratoire de Cristallographie, Resonance Magnetique et Modelisations"
254,Alain,Lusson,"Groupe d'Etudes de la Matiere Condensee, UMR CNRS 8653-Universite de Versailles Saint Quentin En Yvelines, Universite Paris-Saclay"
255,Smail,Triki,"Laboratoire de Chimie, Electrochimie Moleculaires, Chimie Analytique, UMR CNRS 6521-Universitede Brest (UBO)"
256,Younes,Abid,"Laboratoire de Physique Appliquee, Faculte des Sciences de Sfax"
257,Kamel,Boukheddaden,"Groupe d'Etudes de la Matiere Condensee, UMR CNRS 8653-Universite de Versailles Saint Quentin En Yvelines, Universite Paris-Saclay"
258,Sasa,Wang,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences; University of Chinese Academy of Sciences"
259,Yunpeng,Yao,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
260,Jintao,Kong,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
261,Zhenyue,Wu,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences; University of Chinese Academy of Sciences"
263,J.,Macdonald,Dalhousie University
264,Noriko,Onoda-Yamamuro,Osaka University
265,Takasuke,Matsuo,Osaka University
266,Hiroshi,Suga,Osaka University
267,Andrea,Pisoni,EPFL
268,Jacim,Jacimovic,EPFL
269,Osor,Barisic,"Institute of Physics, Bijenicka"
270,Massimo,Spina,EPFL
271,Richard,Gaal,EPFL
272,Laszlo,Forro,EPFL
273,Endre,Horvath,EPFL
274,Dehui,Li,UCLA
275,Gongming,Wang,UCLA
276,Hung-Chieh,Cheng,UCLA
277,Chih-Yen,Chen,UCLA
278,Hao,Wu,UCLA
279,Yuan,Liu,UCLA
280,Yu,Huang,UCLA
281,Xiangfeng,Duan,UCLA
282,Fabian,Ruf,Karlsruhe Institute of Technology
283,Meltem,Ayguler,LMU Munich
284,Nadja,Giesbrecht,LMU Munich
285,Bettina,Rendenbach,LMU Munich
290,Jacky,Even,Universite Europeenne de Bretagne
291,Laurent,Pedesseau,Universite Europeenne de Bretagne
