2022-09-07 21:29:27 WARNING issue with unit arrangement formula:PdV2Y calc_id:00kNuuS9e_jomA3DowFPwFEdU47n prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:29 WARNING issue with unit arrangement formula:SeZn2Zr calc_id:00lvLt50EydpQtTZ0WEvTXvhbZ8q prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:32 WARNING issue with unit arrangement formula:Mn2NiTc calc_id:00rtfI0nWgUy9HwGqqG7UMy1mMoq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:42 WARNING issue with unit arrangement formula:KNbZn2 calc_id:01EzOXxO1T5epXM2nXPiglz4x1x1 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:44 WARNING issue with unit arrangement formula:Ni2SrTe calc_id:01IJLWM0avluQGhNUFXtOkp31Jvm prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:46 WARNING issue with unit arrangement formula:Li2MgSr calc_id:01QRBh5tpvdo2xSkIXYSzDERhSR- prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:48 WARNING issue with unit arrangement formula:Na2SbZn calc_id:020h1cf6rpKoIvawCt1sHqkbtQUD prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:50 WARNING issue with unit arrangement formula:La2LiRu calc_id:02WkXNbvy8a4As-D3m65e4Vd8Qpd prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:53 WARNING issue with unit arrangement formula:OsRhSe2 calc_id:02pcMZWMYQ_S8UwEpRgG7FUuk1j6 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:55 WARNING issue with unit arrangement formula:La2NiPd calc_id:03WnyjGRRNAQOJt9elqKz9x_RJPj prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:57 WARNING issue with unit arrangement formula:LiRh2Se calc_id:04rZPy33mS8_H_Ny6zj9Sk48d8ec prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:59 WARNING issue with unit arrangement formula:KMo4Se calc_id:05Er2pfQM08MSTQOnWSpM7g3Sn21 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:01 WARNING issue with unit arrangement formula:MgRuY2 calc_id:05FgiB2OUiyS6OOxTOVVlAsVKPE5 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:13 WARNING issue with unit arrangement formula:PbSbTc2 calc_id:05Xw0dqMYx4LPnPmQtTmnuKk5MVt prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:15 WARNING issue with unit arrangement formula:Pd2ScSn calc_id:05dVx7RsNDmKjFz6hxU9W5hpbdvX prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:17 WARNING issue with unit arrangement formula:IrNiSb calc_id:068Dby2Kv0vXdp2MIdzjoyII_3bb prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:20 WARNING issue with unit arrangement formula:NiSeZn2 calc_id:078KTmNNnwYpOXBPqt67pwI_8pUO prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:22 WARNING issue with unit arrangement formula:NbOs2Pt calc_id:07G7mw8EZwDx_AoiOWvJf4OJfIgw prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:30:24 WARNING issue with unit arrangement formula:P2PdRh calc_id:07NiO_Bkdgzes6T6_EXh2hSdH4b9 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
