2021-12-20 18:39:00 WARNING issue with unit arrangement formula:NiOsW2 calc_id:-Y00kTP3NFTudavzWQAN3D6dF68_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:02 WARNING issue with unit arrangement formula:OsPPd2 calc_id:-Y6mBwUtkGfJZARCdQLdC-L4_tIh prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:04 WARNING issue with unit arrangement formula:MgSc2Ta calc_id:-YPpw_8dLVxMO_fyo9ZguLeUzFDy prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:06 WARNING issue with unit arrangement formula:PbTlZr2 calc_id:-Yef0xo8j_5OdQWyrBVVXRpXa6Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:08 WARNING issue with unit arrangement formula:MgNaZn calc_id:-Yj0Qel1FqCvFvkh7vGO2w8paS-D prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:10 WARNING issue with unit arrangement formula:Rh2SeV calc_id:-Ykn6GZYCVt9DFWRV161C0JzODvQ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:20 WARNING issue with unit arrangement formula:NiY2Zr calc_id:-Ynz1zt85HgFVW4sOxNZ5CUPwVQ2 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:22 WARNING issue with unit arrangement formula:NaTc2Zn calc_id:-Z0_J3AbdUm-zDFoMfo2q1MM2LaG prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:24 WARNING issue with unit arrangement formula:OsPdSi2 calc_id:-Z3eiyVoM-6Gqvm2ALaZuZcsU-pY prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:26 WARNING issue with unit arrangement formula:MnPbRe2 calc_id:-ZGfsJn0z7CrUbzanf02swrJ_siM prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:28 WARNING issue with unit arrangement formula:OsScTa calc_id:-_tipm4YTlWdyrdAWXuO5Rc_ms1_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:30 WARNING issue with unit arrangement formula:OsTi2Zr calc_id:-_xCF7LwSdQ62zncGAgh7GbR_Vut prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:33 WARNING issue with unit arrangement formula:InNbSb2 calc_id:-aYNE1YFLU8q8kFqGUxItQRdmu-j prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:35 WARNING issue with unit arrangement formula:InPTc2 calc_id:-c4Y8bcNUU6D4AETIa4X9_X-5_HX prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:37 WARNING issue with unit arrangement formula:Ni2TlZr calc_id:-cX7Adw1ClsSAVnhCFGLYLmz_B5L prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:39 WARNING issue with unit arrangement formula:Na2SbTa calc_id:-dORWQUJPZhJcWqR3h0X_-C10AKY prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:39:45 WARNING issue with unit arrangement formula:La2SiSr calc_id:-fYYmP2ExsAQmwVO-9An67YJ7TC4 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
