id,author_id,reference_id
789,689,133
790,690,133
791,691,133
792,692,133
793,468,134
794,467,134
795,693,135
796,694,135
797,695,135
798,696,135
799,697,135
800,698,135
801,699,135
802,700,135
803,701,135
804,702,135
805,703,135
806,704,135
807,705,135
808,706,135
809,707,135
810,708,135
811,709,135
812,710,135
813,711,135
814,712,135
815,713,136
816,714,136
817,715,136
818,716,136
819,717,136
820,718,136
821,719,136
822,720,136
823,721,136
824,722,136
825,723,137
826,724,137
827,725,137
828,726,137
829,727,138
830,728,138
831,729,138
832,726,138
833,727,139
834,730,139
835,731,139
836,723,139
837,732,139
838,726,139
839,733,140
840,734,140
841,735,140
842,736,140
843,737,140
844,738,140
845,739,140
846,740,141
847,741,141
848,742,141
849,743,141
850,744,141
851,745,141
852,746,142
853,747,142
854,748,142
855,727,143
856,749,143
857,750,143
858,751,143
859,752,143
860,753,143
861,754,143
862,726,143
863,755,144
864,731,144
865,726,144
866,756,145
867,757,145
868,758,146
869,759,146
870,760,146
871,761,146
872,762,146
873,763,146
874,764,146
875,765,146
876,766,146
877,767,146
878,768,146
879,769,146
880,770,146
881,771,146
882,772,146
883,773,147
884,140,147
885,774,147
886,775,147
887,143,147
888,776,147
889,777,147
890,778,148
891,779,148
892,780,148
893,515,149
894,781,149
895,782,149
896,783,149
897,516,149
898,784,149
899,522,149
900,785,150
901,786,150
902,787,150
903,788,150
904,789,150
905,790,150
906,757,150
907,791,151
908,792,151
909,793,151
910,794,151
911,795,151
912,796,151
913,797,151
914,798,151
915,799,152
916,800,152
917,801,152
918,802,152
919,803,152
920,804,152
921,805,153
922,806,153
923,807,153
924,808,153
925,809,153
926,810,153
927,811,153
928,812,153
929,813,153
930,814,154
931,699,154
932,815,154
933,816,154
934,817,154
935,818,154
936,819,154
937,820,154
938,821,154
939,822,154
940,823,154
941,709,154
942,824,154
943,825,155
944,826,155
945,827,155
946,828,155
947,829,155
948,830,155
949,831,155
950,832,155
951,833,155
952,834,155
953,835,155
954,812,155
955,836,155
956,837,156
957,838,156
958,839,156
959,840,156
960,841,156
961,842,156
962,843,156
963,844,156
964,845,156
965,846,156
966,847,156
967,848,156
968,849,156
969,850,156
970,851,156
971,852,157
972,853,157
973,854,157
974,855,157
975,856,157
976,857,157
977,858,157
978,859,157
979,803,157
980,860,157
981,861,158
982,862,158
983,863,158
984,864,159
985,865,159
986,866,159
987,867,159
988,868,159
989,869,159
990,870,159
991,871,159
992,872,159
993,873,160
994,874,160
995,875,160
996,876,160
997,877,160
998,878,160
999,879,160
1000,880,160
1001,881,160
1002,882,160
1003,883,160
1004,884,160
1005,885,160
1006,886,161
1007,877,161
1008,878,161
1009,887,161
1010,888,161
1011,874,161
1012,889,161
1013,890,161
1014,891,161
1015,882,161
1016,885,161
1017,892,162
1018,893,162
1019,894,163
1020,895,163
1021,896,163
1022,897,163
1023,898,163
1024,899,163
1025,900,164
1026,901,164
1027,902,164
1028,903,164
1029,904,164
1030,905,164
1031,874,165
1032,873,165
1033,877,165
1034,878,165
1035,906,165
1036,907,165
1037,908,165
1038,876,165
1039,880,165
1040,883,165
1041,882,165
1042,885,165
1043,783,166
1044,909,166
1045,910,166
1046,911,166
1047,912,166
1048,913,166
1049,914,167
1050,915,167
1051,916,167
1052,917,167
1053,918,167
1054,919,167
1055,920,167
1056,921,167
1057,922,167
1058,923,167
1059,924,167
1060,925,168
1061,926,168
1062,927,168
1063,928,168
1064,929,168
1065,675,168
1066,674,168
1067,930,168
1068,931,168
1069,932,168
1070,933,169
1071,934,169
1072,935,169
1073,936,169
1074,937,169
1075,938,169
1076,939,169
1077,940,169
1078,941,170
1079,942,170
1080,943,170
1081,944,170
1082,945,170
1083,946,170
1084,852,171
1085,854,171
1086,947,171
1087,948,171
1088,949,171
1089,950,171
1090,857,171
1091,858,171
1092,951,171
1093,952,171
1094,803,171
1095,953,172
1096,954,172
1097,955,172
1098,905,172
1099,956,172
1100,957,172
1101,958,172
1102,957,173
1103,959,173
1104,955,173
1105,960,173
1106,961,173
1107,962,173
1108,905,173
1109,903,173
1110,904,173
1111,963,174
1112,964,174
1113,965,175
1114,966,175
1115,967,175
1116,968,175
1117,969,175
1118,970,175
1119,971,175
1120,972,176
1121,973,176
1122,974,176
1123,975,176
1124,976,176
1125,977,176
1126,978,176
1127,965,177
1128,979,177
1129,980,177
1130,981,177
1131,982,177
1132,969,177
1133,983,177
1134,984,177
1135,966,177
1136,968,177
1137,985,177
1138,971,177
1139,986,178
1140,987,178
1141,988,178
1142,989,178
1143,990,178
1144,991,178
1145,992,178
1146,993,178
1147,994,178
1148,995,178
1149,996,178
1150,997,179
1151,998,179
1152,999,179
1153,1000,179
1154,1001,180
1155,1002,180
1156,1003,180
1157,1004,180
1158,1005,180
1159,1006,180
1160,1007,180
1161,1008,180
1162,1009,180
1163,1010,180
1164,1011,180
1165,1012,180
1166,1013,181
1167,1014,181
1168,1006,181
1169,1015,181
1170,1016,181
1171,1017,181
1172,1010,181
1173,1018,181
1174,1019,181
1175,1020,182
1176,1021,182
1177,1022,182
1178,1023,182
1179,1024,182
1180,1025,182
1181,1026,182
1182,1027,182
1183,1028,183
1184,230,183
1185,1029,183
1186,932,183
1187,1030,184
1188,1031,184
1189,1032,184
1190,1033,185
1191,1034,185
1192,1035,185
1193,1036,185
1194,1037,185
1195,1038,185
1196,1039,185
1197,836,185
1198,964,186
1199,963,186
1200,1040,187
1201,1041,187
1202,1042,187
1203,1043,187
1204,1044,187
1205,1045,187
1206,1046,187
1207,1047,187
1208,1048,188
1209,1049,188
1210,1050,189
1211,1051,189
1212,1052,189
1213,1053,190
1214,1054,190
1215,1055,190
1216,1056,190
1217,1057,190
1218,1058,190
1219,1059,190
1220,1060,191
1221,964,192
1222,963,192
1223,1061,193
1224,1062,193
1225,1063,193
1226,1064,193
1227,1065,193
1228,1066,193
1229,1067,193
1230,1068,193
1231,1069,193
1232,1070,193
1233,1071,194
1234,1072,194
1235,1073,194
1236,1074,194
1237,1075,194
1238,1069,194
1239,1076,195
1240,1077,195
1241,929,195
1242,1078,195
1243,1079,195
1244,1080,195
1245,926,195
1246,1081,195
1247,1082,195
1248,1083,195
1249,1084,195
1250,1028,195
1251,932,195
1252,1085,196
1253,1086,196
1254,1087,196
1255,1088,196
1256,1089,197
1257,1090,197
1258,1091,197
1259,1092,197
1260,1093,197
1261,1094,197
1262,1095,198
1263,1096,198
1264,927,198
1265,1097,198
1266,1098,198
1267,674,198
1268,675,198
1269,1099,198
1270,1100,198
1271,1101,198
1272,1102,198
1273,1103,199
1274,951,199
1275,1104,199
1276,1105,200
1277,1106,200
1278,1107,200
1279,1108,200
